text,user_location,target
"🔴 @Reuters tally Record numbers of #coronavirus cases in every global region
#COVID19

The United States remains at… https://t.co/IgNklSijhm",USA and Global,1
YET @BrianKempGA is suing the Mayor for #mandatingMasks and @RonDeSantisFL who has one of the HIGHEST #COVID19 infe… https://t.co/WrIiDljXex,"New York, USA",0
"@FiveThirtyEight IMO it could happen as #COVID19 worsens:
13 seats
@SenJoniErnst
 
2 GA
@JohnCornyn
 
KS if… https://t.co/oE5SFdk375","Maryland, USA",0
@TonyThomasWSB @GwinnettSchools @wsbtv Karen on full display.  Science medicine out the window.  Heck the @CDCgov c… https://t.co/oUmSzHAP9h,"Georgia, USA",2
"@PhRMA

Science concerning the #COVID19 is horseshit.

Stop the fakery for $$$$$", USA at large,0
"#Berkeley fall 2020: #remotelearning
—@KellyNguyen_DC
@dailycal https://t.co/CozMt6iZUE

#academia #highereducation… https://t.co/OQjQsYyzDH",Blacksburg VA USA,2
The conspiracy theory of 2020 is that the #SARSCoV2 #COVID19 #coronavirus did NOT come from a laboratory in #China,"Jerusalem, Israel",0
@HKrassenstein It's not to their benefit. I've been correcting them all the time but they love playing the victim .… https://t.co/6enMMHFACc,"South Carolina, USA",1
Lou Will got a hall pass from the bubble and tried to come back covered in glitter and smellin like cheese fries an… https://t.co/94yurzPnAp,"Oklahoma, USA",1
"@senatemajldr, @realdonaldtrump and @stevenmnuchin1 want to keep giving tax breaks to the rich while they cut unemp… https://t.co/u3oFH8ugFI","Georgia, USA",1
"When you want to go and do something during Covid times, try a little drive up comedy. #covid19… https://t.co/3tko1aBz9A","California, USA",1
@RawStory @RadioFreeTom @realDonaldTrump; patron saint of #COVID19 https://t.co/RPf1lRsglf,"New York, USA",2
Has anyone checked on #bettywhite since #COVID19  started?,"Texas, USA",2
Another protest of health and efforts to slow down #coronavirus #COVID19.  This is nothing but a super spreader eve… https://t.co/NBPG0YLExs,USA,0
#COVID19  #SARSCoV2 : 16260665 cases (+272309) (86380 in China (excl. Hongkong and Macau) &amp; 16174285 confirmed case… https://t.co/rxjk6M3LMx,USA,2
"@svscarpino @HelenBranswell OK, Leadership matters. Followership matters a lot more. If at least 75% trust their go… https://t.co/tkUebYKC89",USA,1
"If I can only give one reason, I would say #Corruption
but if I can say more, I would say #COVID19 #quidproquo… https://t.co/yfKWoWzqsF","Bend, Oregon, USA",2
"From 9:00 ET on 7/25 to 21:00 ET on 7/25, we published #COVID19 related health alerts for:
⚠️ #Zambia
Search for al… https://t.co/46XdZ4Xj5i","Washington, DC, USA",2
Give $2000/month to every American #moneyforthepeople #covid19 - Sign the Petition! https://t.co/nANLrTNTJM via @Change,"Hawaii, USA",2
#COVID19 may trigger ME/CFS in those who recover. Help support and fund post-viral disease and #MECFS research… https://t.co/0hskw2iCyy,"Massachusetts, USA",1
"Trump handled #COVID19  better than any world leader, the media didn't report the fact that under his leadership he… https://t.co/co1Ug25Obz",USA,1
"Covid19 will effect the 19th anniversary of the September 11 attacks.

Family members will not read the names of th… https://t.co/zZQEdeGwRk","New York, USA",0
"@realDonaldTrump @Hawaii_EMA @TDEM The same administration that was lying to us that #COVID19 was under control.
#TrumpIsKillingUs","Ohio, USA",0
Jail Fauci: Yelp Says 60% of Restaurants Are Closed for Good #Fauci #FauciTheFraud #COVIDー19 #Covid19 #lockdown2020… https://t.co/7q1LaLCv1Y,California USA,1
"Delusional Trump thinks he knows more than scientists. To look results-oriented, he concocts own theories like… https://t.co/idmWsyKkUR",USA,2
"They take 239 days off a year and get paid.

#floridaunemployment #NPA #COVID19 #Florida #CARESAct
#CARESAct2… https://t.co/Xsb9cGoCEq","Florida, USA",2
"@NYGovCuomo Why did you kill over 5,000 elderly people in nursing homes Governor Cuomo?  It’s called murder.  #COVID19 #CuomoKilledGrandma","North Carolina, USA",0
The Central Valley can be a really great place but it’s people like this that make it unbearable. #covid19 #fresno… https://t.co/rMUhAWgqeJ,"Self Isolation, CA, USA",1
"@NYGovCuomo Why did you kill over 5,000 people in New York?  #COVID19","North Carolina, USA",0
"#BREAKING #news 
COVID-19 patients will be ‘sent home to die’ if deemed too sick, Texas county says

Florida runnin… https://t.co/a726F5VJRS","East Coast, USA",0
"@realphilhendrie Donald didn’t care about the 1,110 Americans killed by #COVID19 just today.","Michigan, USA",0
"@davidmweissman Not so fast, #COVID19 will be worse.  We will be in lockdown.","Nightmare, USA",0
"@CNN Once the federal admin takes #Trumpvirus (aka #covid19) seriously &amp; puts every resource at its disposal, then… https://t.co/oxQHWImijD","Oregon, USA",0
"@GovTimWalz Thank you, Governor, for protecting Minnesotans &amp; keeping us safe in this pandemic. I support you! You… https://t.co/dQBKfxt00M","Minnesota, USA",1
@CallingDrLove69 I think you’ve put up your grindr summary on twitter by accident sir. 🙂 #trump #traitor #treason… https://t.co/8IxnyJPpTS,"New York, USA",0
@BarackObama hey want to play Minecraft? #COVID19,"Pennsylvania, USA",1
There are actually people who think this virus didn’t start till March. #COVID19,"Texas, USA",2
Nightmare 😷#COVID19 war against humanity 😠,USA,0
@JohnDelury P.P.S. Note also this other curious announcement from the Peninsula over the last 24 hours:… https://t.co/44dKJItqxf,"Jerusalem, Paris, Melbourne",1
"Hawaii sees third consecutive day of record-high #COVID19 cases
https://t.co/befqsML2b8","Hawaii, USA",2
"Democrat mayors, and governors made exceptions with #BlackLivesMatter and #antifa stating their ""protests' were wer… https://t.co/MKcAtKGCAm","New Jersey,USA",2
"Pure garbage.  I wish him well, and trust he’ll be a monumental success in Seattle.  He’s so far away from us now,… https://t.co/JyHPaeRcRm","Palm Beach County, FL USA",1
Global Quieting - classic @WilliamJBroad @NYTScience story on a @ScienceMagazine paper that was published quietly a… https://t.co/8pWU9aSotx,"Hudson Highlands, NY, USA",2
"Those Masks are the real MVP....

Smell your own breath close talkers!

#COVID19 #WearAMask","East Coast, USA",2
This is not a joke people #COVID19 https://t.co/pV4RafmjT5,"Rhode Island, USA",0
17 students in a room.  ONE wore a mask.  This is why we are losing the battle with #COVID19 #Oklahoma https://t.co/2M2w65URyE,"Illinois, USA",0
"Just came across this interesting article @_Anesthesiology
“Tight” surgical mask is better than N95 😷 
I’ve thought… https://t.co/U5DS3lmdUe","Ohio, USA",1
"The WI DHS reported 955 new cases of #COVID19 today, for a cumulative 47,870 cases. 0.84% of the WI population have… https://t.co/pBo7yYC6KL","Madison, Wisconsin, USA",2
@CNN Nope. Not going to happen until the nation gets the #TrumpVirus (aka #covid19) under control. If we fix the vi… https://t.co/bq1uJSYTDQ,"Oregon, USA",2
Turnipheads #COVID19 https://t.co/poXaldxcL3,"New Jersey, USA",2
@3Stocksaday $CHFS  .81 now keep an eye for that 50ma weekly break!! It will a big breakout once it happens.  If it… https://t.co/ApNO49Qrz7,USA  ,2
@3Stocksaday $CHFS  keep an eye for that 50ma weekly break!! It will a big breakout once it happens.  If it breaks… https://t.co/H88t7gIwRS,USA  ,2
"Costa Rica’s Health Ministry reported a record 931 new #coronavirus cases and 11 deaths on Saturday, both single-da… https://t.co/s8sXhIvskx", California USA 🇺🇸,2
#COVID19 outlook grim. https://t.co/LnydVckja0,"Bend, Oregon, USA",0
On the left is the amount of suicide deaths for the year. On the right is the amount of coronavirus deaths for the… https://t.co/nE5sUw3WdM,"Ohio, USA",0
More Companies Will Offer #RemoteWork at Price of Staff Job [Op-Ed] - @JoeMullings | @CNBC: https://t.co/R0FqdqcH5B… https://t.co/jJUutAYtd6,"Dallas/Fort Worth, Texas USA",2
@Texans_Thoughts @IamYoungarigold #COVID19  free of course,"Texas, USA",1
"RIP Regis

#RegisPhilbin #legend #ChicagoDebtSolutions #COVID19 

 Legendary TV host Regis Philbin has died at age… https://t.co/u0DfbvH6hj","Illinois, USA",0
On the left is the daily suicide deaths today and on the right is the daily coronavirus deaths today. Both can be f… https://t.co/cNn4PfPHgx,"Ohio, USA",0
"During this time of social distancing due to COVID-19, some may feel isolated, stressed or alone. You are not alone… https://t.co/BSqLun2Dvl","North Carolina, USA",0
This is how we stop the mercs in Portland... we unite as vets in the #WallOfVets and we keep the #COVID19 accountab… https://t.co/V9vlL0vryY,"Medford, NY, USA",0
"Love4ever88: Praying for a miracle
#COVID19 #homeless #MaskUp #bailouthumans #FOH #praying #miracle
#help TheRetwee… https://t.co/YYRqR4Qk24","New Jersey, USA",1
A visit to the temple to see grandma &amp; grandpa in Covid times... first time I’ve had a monk take my temperature.… https://t.co/uSdsJllU2S,"New York, USA / Singapore",2
"#virus Links to CORONAVIRUS MID JULY 2020 #coronavirus #coronavirushotspots #coronavirusoutbreak #covid19
https://t.co/FszmPsuzHv","Rural Hall, North Carolina, USA",2
"3 men attacked a San Francisco bus driver for telling them to wear masks or get off the bus.  

What the mainstream… https://t.co/QHy2dGWx0o","San Francisco Bay Area, CA, USA",0
"Yes, the Bubonic Plague Is Still Around In The USA. What will #DonaldTrump do if we have a major outbreak on top of… https://t.co/zk1rTrKMHw","Louisiana, USA",1
5 COVID-19 Stories the MSM Won’t Report #COVID19  #COVID #coronavirus  https://t.co/cBbT3YHQpy via @YouTube,"Texas, USA",2
Some candidates are already entering phase 3 trials. #COVID19 #MedTwitter https://t.co/QgWjcYqk4u,"Minnesota, USA",2
"How to Have the Life You Want - It's just one very, simple principle. Are you up to the challenge?#success… https://t.co/K4aLDgYVNT","Carlisle, PA, USA",1
If asking if everyone got tested for #COVID19 in a group that wants to meet up is considered bratty or fucking pout… https://t.co/seksBjZ5qj,"Nevada, USA",2
"Just wanted my mom to empathize and say it would be ok. Told her bout my overwhelming anxiety as a teacher, bout ne… https://t.co/NCFkfVQkCm","Alaska, USA",1
"Vietnam to evacuate 80,000 people from Da Nang after first local COVID-19 cases are recorded in almost 100 days… https://t.co/1qgSKbXmx8", California USA 🇺🇸,2
"As you start your week, remember that the safety of those around you depends on you. Protect them and yourself from… https://t.co/brXg1PAlVg","Lusaka, Zambia",1
Personal experience of a patient with longterm #COVID19 symptoms. #MedTwitter #coronavirus #MedEd https://t.co/zLJRgMO5Y5,"Minnesota, USA",2
"This is such a great idea, but I’m not optimistic if the government is going to implement it anytime soon. I hope t… https://t.co/JTYmH1hHyM","California, USA",1
As you Know Being a Hate Group @whiteHouse @Foxnews is A #HateGroup ..Has Zero to Do with News like the @PressSec… https://t.co/Zb9gcIwt4F,"North Carolina, USA",0
"Travis County, #Texas #COVID19 case counts, fatalities, and hospitalizations - updated on 7/26 #austintexas #ATX… https://t.co/aq5jlfTUAC","Austin, TX, USA",0
This is ⁦@realDonaldTrump⁩’s America. The USA has the highest deaths in the world. I thought we were the fkn best c… https://t.co/GGLPfLdTOj,"Virginia, USA",1
"@donwinslow I want them to ask, ""You say the administration is doing a great job fighting the #TrumpVirus, why then… https://t.co/pWY0sl8wB4","California, USA",1
"Warriors beyond classrooms: Teachers of #Delhigovt, MCD schools deployed on #COVID19 duty https://t.co/U00TSSM1uX… https://t.co/x2cShXTbCd","India and USA, 5 years Old",2
"@realDonaldTrump Are you better off today than you were four years ago?

#Biden2020 

#TrumpFailsAmerica… https://t.co/DyXYwChBzb","Washington, USA",1
"And then when #COVID19 spikes occur the blame everything but this. I guess protesting prevents #coronavirus, not!… https://t.co/uGZkXWXezs","Maryland, USA",0
"@kylereesepieces @yashar @EricTrump @JesseBWatters Well, I hope so for your sake, my sake, and let's be honest, the… https://t.co/ZKkkK343GK","Pennsylvania, USA",1
"@DrEricDing It’s not #COVID19  “Morbid obesity and asthma are listed as contributing causes of Byron's death, the o… https://t.co/TcNwdOJDUS","Michigan, USA",0
"Thanks for listening, it was an absolute pleasure.

#COVID19
#EpsteinBlackBook
#ghislanemaxwell
https://t.co/rkINkDenCj","E.C. California, USA",1
@AndyBCampbell Okay @WhiteHouse @LindseyGrahamSC @SenateGop @RandPaul  @Foxnews Russians Murder @USMC or @USArmy in… https://t.co/SOWAI4NRee,"North Carolina, USA",0
"LIVE BLOG: Ryanair takes loss of €185M during ""most challenging quarter"" in its history

https://t.co/Nue9ZfFujy vi… https://t.co/9RIeOofMZx","New York, USA",0
@DrTomFrieden Stop counting everything but the kitchen sink as #COVID/ #COVID19. @CDCgov @POTUS @realDonaldTrump… https://t.co/zEn0dtUSfn,The Exceptional USA ,0
"It's not a #protest, they're losing the #spirit of their minds to #chaos.
Those who presented this cause,… https://t.co/ohWKO0BdDa","California, USA",1
"Texas reports 1,000 coronavirus deaths in just 6 days  https://t.co/NFYp1YAlQZ ••• Thank their stupid Governor… https://t.co/WJOv2Ezw65", California USA 🇺🇸,0
"Dear #COVID19 here is a well deserved Fuck You, for ruining shit for everyone. https://t.co/VTHlCj8u2P","Texas, USA",0
"This child died bc of @GovRonDeSantis he is an utter failure, murder..his lack of actions r why Florida is the wors… https://t.co/oaazHyn0EX","New York, USA",0
@Elemen0_P @TexasTribune Until you know someone who gets killed by the deadly #covid19 virus. We need #JoeBiden lea… https://t.co/5V22dxSQX4,"Oregon, USA",0
"The Wall Street Journal: It Takes a Lot of #COVID19 Tests to Keep a #Movie  Studio Open. 📽🎬
https://t.co/iTcoXogVSn

via @GoogleNews","New York, USA",2
"lol Doctor

You relate a 20 and 22 year old back to “pediatric mortality.” 

You say they were “lost” to “#COVID19,… https://t.co/5qj1g0eqjc","Oregon, USA",1
"""One day it's like a miracle, it will disappear.""
— Donald Trump, Feb 27, 2020

#COVID19 #MAGA #TrumpPence2020",Right Coast USA,1
Rumor has it that Hollywood is planning to make another Dumb and Dumber movie. Trump has been penciled in to portra… https://t.co/W5uvzNp2G3,"In the Midwest USA, 3rd Rock from the Sun, in an infinite universe.",0
"130 Israeli police contracted #Covid19 from 'demonstrators'

https://t.co/O4QjQc2OcM","Jerusalem, Israel",2
"No One Want Terrorist, Russian’s or Not, in their City, State! Criminals @HHS #DOJ @WhiteHouse What next Children F… https://t.co/n50MOQ5GFz","North Carolina, USA",0
"@realDonaldTrump has time to golf as states report more than 1,000 #COVID19 deaths for fifth day straight… https://t.co/Y6PFvJ8Bau","North Carolina, USA",2
"@ElijahSchaffer How many #COVID19 admissions?

Certainly, the public health department is monitoring the field hosp… https://t.co/1VVOFpFUR9","Somewhere on A1A, Florida, USA",1
I don’t understand. never been harder to get kicked out of a bar.  You can’t talk to that guy’s girl. He can’t come… https://t.co/7FyPSAvZIs,"Rhode Island, USA",2
@SydneyLWatson Anyone get the numbers on the positive COVID cases in these crowds? What's their secret? Church in A… https://t.co/l4xOkj1TNj,Somewhere USA,1
@rickklein~Been trying to get attn of various people at all the nat'l networks &amp; cable channels. Everyone's daily 7… https://t.co/tenfv2ndoH,"Mill Creek, WA, USA",2
"As Congress debates more #COVID19 assistance, millions are losing their enhanced unemployment benefits and eviction… https://t.co/AGd0OxtAme","Atlanta, Georgia, USA",0
Has anyone with #fabrydisease contracted #covid19?  What have been your experiences with the virus? Many of the ong… https://t.co/dgplwkp7Gk,"Wyoming, USA",2
"Excellent talk by Pastor @jdfarag  Listen as he speaks about the mask mandate, coming vaccine &amp; persecution of the… https://t.co/azPnd8vZbk",USA,1
Same presumption for movie theaters now has an asterisk the size of COVID-19 itself. #Schools #MovieTheaters… https://t.co/Wr3mKd9RSv,"Oregon, USA",2
"I'm calling it now. The big fashion surprise this winter is that #COVID19 is gone from the earth, but we all wear m… https://t.co/dhvL0ajbIg",Jerusalem,1
@PeterSchiff It’s such foreboding news in midst of #COVID19- #2020Elections- #POTUS45 #BlackLivesMatter-… https://t.co/z8NdNE1gqP,"Nevada, USA",2
"July 26, 2020

#LosAngeles #NewYork #Washington #NewOrleans #Italia #China #Spain #Japan #SouthKorea #California… https://t.co/2XyelBMRzE", California USA 🇺🇸,2
"#COVID19 will reach a death toll of 150k in the U.S. today. 

That is the equivilent of seeing an Airbus A380 (852… https://t.co/Lsw1BeBmzh","Illinois, USA",0
Wait did @senatemajldr say #COVID19 won't just go away? Did he say  VACCINE won't be AVAILABLE SEVERAL MONTHS AT MI… https://t.co/Ef1TWlNms8,"Washington, USA",2
"https://t.co/DPj4K4IIWy

Doja Cat Corona Virus positive after Covid 19 flu jokes! #DojaCat #coronavirus #COVID19","Rhode Island, USA",1
"24 July — Virus rips through Israeli school after masking is suspended... 
.. 
#BackToSchool #covid19 #TrumpVirus… https://t.co/czHfOaR6Rc","USA,Sol3,Sol,MW Glxy,Virgo Cl ",2
@tedwheeler @IRCOnews @OHSUNews Thank you mayor for caring for the citizens of Portland by providing these #COVID19… https://t.co/V0SIBwdlWm,"Oregon, USA",1
"Black Lives Matter Leader Arrested for Sex Trafficking: Flashback -
#BlackLivesMatter
#Hanna #COVID19 https://t.co/wBC5hb0GDH","Texas, USA",0
"Haters are like crickets. They make a lot of noise, you hear it but you can't see them. Then right when you walk by… https://t.co/IORfNVpJDC","New York, USA",0
"#Southwest says it will no longer let travelers without #masks fly, enacting the strictest policy among U.S.… https://t.co/0eYgHTvihc","California, USA",0
"Greetings to CRPF personnel and their families on @crpfindia’s 82nd Raising Day.
The very personification of courag… https://t.co/1op0I8MZdj",Begusarai,1
There is NO evidence of IMMUNITY TO the TRUMP VIRUS AFTER YOU'VE RECOVERED!  So you or your families mild case a mo… https://t.co/Vub2SIOp0A,"USA,Sol3,Sol,MW Glxy,Virgo Cl ",0
"@MeidasTouch Not wearing a mask, traveling &amp; meeting many others without contracting #COVID19 . (He will get it, sp… https://t.co/tduwnlffge","Colorado, USA",2
"oh wow! an anti-gay Arkansas senator who claimed #COVID19 was a hoax...now has...wait for it...COVID 19. Karma, you’ve done it again 👏🏼","Connecticut, USA",1
Our society can thrive in a #COVID19 environment when the inequities are addressed and federal assistance is deploy… https://t.co/t9zJ0dOZWn,"California, USA",2
Our society can thrive in a #COVID19 environment when the inequities are addressed and federal assistance is deploy… https://t.co/GLNK7QatoT,"California, USA",2
"3 Proactive Response Strategies to #COVID19 #Business Challenges
- Same Products, Different Channel
- Same Infrastr… https://t.co/amkn8cR0gN","Cambridge, MA, USA",1
@realDonaldTrump @Yankees Excuses excuses. You just don't want to make a fool of yourself trying to throw a basebal… https://t.co/2mKcgYvy6M,"Arizona, USA",0
@politicususa @DevinCow Using same logic as testing causes USA to have more #COVID19 I see.,"Texas, USA",2
"FACTS YOU MAY NOT NEED {4} 
Coronavirus (TrumpVirus)  research updates: Dogs’ and cats’ infection rates mirror thos… https://t.co/5l7nm7yQvN","USA,Sol3,Sol,MW Glxy,Virgo Cl ",2
"The #COVIDIOTS with “family values” are the ones saying #COVID19 is not as bad as the flu.

If a family member is d… https://t.co/jW0fzUhqeH","New Hampshire, USA",1
Australia’s second-most populous state of Victoria reported on Monday six new deaths from the coronavirus and logge… https://t.co/u92u4nmT2z, California USA 🇺🇸,2
In general vaccine for kids are being developed following trials on adults. But pharma world is in rush now and the… https://t.co/RXtDUMXFXV,"Pennsylvania, USA",2
Any girl’s in NC want to meet up ?#SeductiveSunday #meetup #sex #like #COVID19 #poorrnn,"Ohio, USA",1
"WOW!! This video will make you sick!! 
Trump is out of Control and MUST BE STOPPED
#COVID19
#coronavirus… https://t.co/UTIz5xzlcN","HATE TRUMP, USA",0
Has the @realDonaldTrump Administration considered any clinical trials with homeopathic remedies for #COVID19? Home… https://t.co/FKpiBEJG0n,"California, USA",2
"Volunteers needed for #COVID-19 #vaccine trial in #Fayetteville #NC

#FayettevilleNC #Fayetteville #COVID19… https://t.co/H5VdTmsJ5i",USA,2
"People need hugs and handshakes the most right now but there are rules that tell us we can’t get within 6 feet? 

F… https://t.co/rzypIqLfdu","Texas, USA",1
"Estimates 36 million US residents have been infected by #covid19   https://t.co/xpg21mW0l4   ""Good"" news is that ma… https://t.co/EeNdqsz9om","Philadelphia, PA, USA",0
"https://t.co/MkyV3B7b0x
Watch Josh Allen's best throws of his career so far.  Most of his throws only he can make… https://t.co/tlBO5Lj9tQ","Colorado, USA",1
"Look, wearing a mask during #COVID19 isn't a bad thing. It could be worse, like covering your entire face during an… https://t.co/bejiLSgF9t","New York, USA ",1
Am I the only one who thinks testing people who feel fine is a giant fear mongering attempt by the media and state… https://t.co/JhyfgUAhDU,"Oklahoma, USA",0
"Wear a Mask: Let's All do Our Part to Slow the Spread of Corona Virus
 #CaliforniaConnected #Covid19 #EMS… https://t.co/LjIDz0LKZ1","California, USA",2
"California Connected – In the fight against COVID-19
 #CaliforniaConnected #ContactTracing #Covid19 #EMS… https://t.co/CYOFYIdh9n","California, USA",0
"Watch HealthCube's Ramanan Laxminarayan alongside 
@govindethiraj on @TEDxGateway Webinar: Safely Reopening Your Wo… https://t.co/UwSSwY04Jl",USA,1
@senatemajldr This could have been over already if @realDonaldTrump had done his job. #COVID19 https://t.co/xYP2a5kvvB,"Florida, USA",2
@NYGovCuomo You didn’t worry about spread when you placed #COVID19 patients in nursing homes by state order. You’re a joke,"Alaska, USA",0
COVID-19: Updates for the US #covid19 https://t.co/LovSpCunf1,USA Canada Mexico Arctic,2
Goodnight... Remember to wake up with a smile because you can. Dark times call for brighter people. #Smile… https://t.co/rOcN1yPaCV,"Connecticut, USA",1
...you took my firearms to help Antisemetic gangsters get away. Now I have to make less money because of you. In th… https://t.co/Oc4OAQSHRe,"Florida, USA",1
PM #NarendraModi to launch 'high-throughput' #COVID19 testing facilities in three cities via video conference… https://t.co/W5cifxKu0b,"India and USA, 5 years Old",2
Brevard County people are so pissed it is still going on. Our county is rising in Covid. Should be cancelled.… https://t.co/Rvq3X3XcjY,"Florida, USA",0
@Events_Council's Accepted Practices Exchange (#APEX) COVID-19 Business Recovery Taskforce has been navigating all… https://t.co/Crq42e3Ckg,"Sausalito, CA",1
"Thank you, @pastemagazine. #mask #masks #masks4all #masksforall #wearamask #wearamask #covid19 https://t.co/veuNR9KyGb","New York, NY, USA",1
@jeanmobilia God help us all! 4 more yrs of Trump's idiocy will lead to many more deaths! Not all will be #COVID19… https://t.co/wZ8kXIguUm,Sunny Florida  ☆USA☆,1
"Like troops returning from war, some medical professionals are showing signs of Post Traumatic Stress Sydrome becau… https://t.co/ARlSuk9To2","Atlanta, Georgia, USA",0
"@HalversonLaurie Agree. Sweden never closed day-care/primary/middle schools during the pandemic, with zero #COVID19… https://t.co/lb5JS039P8","Boston, USA",1
Why aren’t people asking what #china’s actual #COVID19 numbers are? It’s like people just forgot all this started i… https://t.co/T4D7hH4bpg,"Ohio, USA",1
"That is a pile of #mask . 
I just pin over 150 pleated mask. 

Going to have them ready for my #etsy shop this week… https://t.co/PWku8YPeCO","Texas, USA",1
@jeanmobilia Extremely hard to believe how DEADLY a malignant narcissist/moron can be when installed in a political… https://t.co/JKXaI7o4qd,Sunny Florida  ☆USA☆,0
"Silver Gold Platinum Palladium 

#CivilUnrest #Lawlessness #SeattleRiots #Oregon #CivilWar2020 #DomesticTerrorism… https://t.co/CrVZqMylVy","Jerusalem, Israel",2
I’m 10 miles to the closest (full service) grocery store. Last week I refilled my tank. Guess the last month I filled it #COVID19,"NC, USA ",2
"@ASlavitt his toner, after all those #COVID19 deaths his cartridge was empty! https://t.co/1wcjQFlTpB",USA!,0
.@CDCgov: One-third of #COVID19 patients who aren't hospitalized have long-term illness https://t.co/Gh7TSm5EY4,"North Carolina, USA",0
Sweet goodwill find today! Quite an uncanny quote given our current reality not at all related to ⚾️ #COVID19… https://t.co/m0sry7y8WF,"Texas, USA",1
"BREAKING: Wish I could spend all day on the golf course, @realDonaldTrump, or sitting on my ass like @gop, but I'm… https://t.co/2Q8sNxHxgt","Minnesota, USA",1
"This is the other part of R0 exponential growth--the time over which it operates.  For #COVID19, it's ~5 days, so i… https://t.co/7ORDenUUIV","#VA02, USA",2
COVID-19: Updates for the US #covid19 https://t.co/9fdGTAwKSF,"Midwest, USA",2
"In all of this confusion...   don’t you agree we need hope!

Proverbs 14:12: There is a way that seems right to a m… https://t.co/hjF4Be7CIq","Ohio, USA",1
"Father of LIES, Author of Confusion,
his #NWO ilk Modern Day #MINIONS,
#DEMS #MSM hoping to extend the 
911 2.0… https://t.co/9nyPBv0hSk",USA,0
"Give your sleepless nights a break, as CFS is providing quick assignment help services to the students at low price… https://t.co/86fZOMpnk9","USA, Australia, Canada",1
New poll from The Associated Press-NORC Center for Public Affairs Research finds Trump’s approval for his handling… https://t.co/ACdcwHDkni,"Texas, USA",1
@real_defender @realDonaldTrump Red with the blood of the dead due to his incompetence with #COVID19 #Biden2020,"Pennsylvania, USA",0
"@IamNurseTrish It sounds morbid, but #covid19 is going to kill @realDonaldTrump's voters anyways. HE told them COVI… https://t.co/JZ8OKsKA3b","Minnesota, USA",0
#Congress needs to protect every child’s fundamental right to a quality education. Our nation needs you to pass the… https://t.co/7Qw1CdV7Xa,"California, USA",1
"Enjoy Bane complaining about #COVID19
https://t.co/q0UssKfIgM","Washington, USA",1
@FrancisFu8 @claireortiz @StephenMcDonell Who cares if the US shuts down a chinese consulate. The whole world shoul… https://t.co/Fu8xJkTzb9,"California, USA",1
#Congress needs to protect every child’s fundamental right to a quality education. Our nation needs you to pass the… https://t.co/7YuJzmDI0p,"California, USA",1
So protesting by #AntifaBLMDomesticTerrorists is considered safe by #COVID19  standards but #MAGA Rallies aren’t? 🤔,USA,0
#Media #Democrats are directly responsible for the death of tens of thousands of Americans from #COVID19 by falsely… https://t.co/Dq7G2ovrSg,"Kentucky, USA",0
"COVID-19: How to Fight Against Cybercrime in the Home Office Environment #ANTIVIRUS, #CORONAVIRUS,… https://t.co/Ct1lnMrY3A","Belgium, USA, Pakistan",0
"@papa_sierra_ @wzzm13 Yes, I cannot vote for the @GOP. Sorry. Double-digit #unemployment, negative GDP and #COVID19… https://t.co/x0ANJLafnI","Michigan, USA",0
"New vids coming soon 😏😏
👇🏾👇🏾👇🏾
https://t.co/YEq2ZZIVyp
#onlyfanspromotion #onlyfan #onlyfanslink #ContentCreator… https://t.co/qGi0jtuC1Z","California, USA",2
"The impact of #COVID19 on economies is felt by consumers worldwide. 

#Crowd #GlobalAgency #CrowdInsights… https://t.co/jPcujVPYPz",UK | USA | UAE | CAN | CHN | NL,2
The COVID-19 crisis has inspired a staggering amount of goodwill being generated and distributed across India.… https://t.co/H3ayBZbWVj,"Mountain View, CA, USA",0
#COVID19 #deaths reduced by 44% in early #July compared to early #Junehttps://www.magzter.com/article/Newspaper/Mil… https://t.co/V8Up7UVHtu,"New York, USA",2
Bloomberg: #Vietnam 🇻🇳 Sees Illegal Entry Risk Amid 1st Local #Covid19 Cases Since April https://t.co/HB9Dmr8arx.… https://t.co/aegR3uig6F,Tweets on #Asia & USA  ,0
"News station: ""What will parents do if schools don't re-open this fall?""

Me: ""Survive.""

#COVID19 #pandemic… https://t.co/5lqxBn8mJY","New Jersey, USA",2
@realDonaldTrump @CNN Until #COVID19 is UNDER CONTROL we have a TESTED VACCINE THAT WORKS WE NEED TO CONTINUE TESTI… https://t.co/MuBQPkDDLE,"Washington, USA",2
"Difference between diagnostic standard and screening standard:

Diagnostic: Related to identification of cause of s… https://t.co/vS5bLIodRZ","Chandler, AZ, USA",2
"Well, this says it all &amp; I am about to do this with my TV!!!  #covid19 #goodbyecovid19 #goodbyecovid #fakecovid19… https://t.co/PB1qVEu2sm","Dallas, Texas, USA",1
"Railways implements contactless ticket checking, issues airport-like boarding passes in #Prayagraj… https://t.co/yu0P1OZbty","India and USA, 5 years Old",2
"✅ NATURE HAS THE ANSWERS
Llamas—Yes, #Llamas—Could Help Us Fight #COVID19 https://t.co/rqZofSgDyw",USA and Global,1
The Chicago @Cubs are discussing their concerns in advance of their upcoming four-game series against the Reds at G… https://t.co/39luHhPeNc,"Kentucky, USA",2
Good night #WuhanVirus #COVID19 #coronavirus #PortlandRiots #PortlandSucks #Portland #PortlandMoms  https://t.co/F4pruAwv8a,"New York, USA",1
Border states with Mexico &gt;&gt;&gt; #Arizona #Texas #NewMexico #coronavirus Explodes coming in from #Brazil and #Mexico f… https://t.co/dJSTUQ0pl0,"Jerusalem, Israel",2
